#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	8.23731
firstFrontCount	5
frontCount	32
avgEvalTime	3.52214e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.773747	1	0.773747	2.58482	-1.96372	-4.96372	
0.500174	1	0.500174	3.99861	0.498434	-2.50157	
0.360863	5	0.360863	16.6268	-2.24777	2.75223	



#Generation 2 / 100
currentGen	2
evaluateCount	100
totalTime	10.9602
firstFrontCount	18
frontCount	3
avgEvalTime	3.91708e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.459977	2	0.459977	6.52206	-0.139793	-1.13979	
0.457737	2	0.457737	6.55398	-0.119637	-1.11964	
0.503556	2	0.503556	5.95763	-0.532002	-1.532	
0.453585	2	0.453585	6.61398	-0.0822635	-1.08226	
0.628278	1	0.628278	3.1833	-0.654506	-3.65451	
0.749818	0	0.749818	1.33366	-0.748365	-5.74836	
0.567164	1	0.567164	3.52632	-0.104476	-3.10448	
0.659568	1	0.659568	3.03229	-0.936109	-3.93611	
0.6084	1	0.6084	3.28731	-0.475603	-3.4756	
0.535692	2	0.535692	5.60023	-0.82123	-1.82123	
0.468417	2	0.468417	6.40456	-0.215749	-1.21575	
0.592584	1	0.592584	3.37505	-0.333255	-3.33325	
0.489485	2	0.489485	6.12889	-0.405367	-1.40537	
0.671213	0	0.671213	1.48984	-0.0409171	-5.04092	
0.457737	2	0.457737	6.55398	-0.119637	-1.11964	
0.454493	2	0.454493	6.60077	-0.0904335	-1.09043	
0.609638	2	0.609638	4.92095	-1.48674	-2.48674	
0.469808	3	0.469808	8.51412	-1.22827	-0.228272	
0.613206	2	0.613206	4.89232	-1.51885	-2.51885	
0.559542	3	0.559542	7.1487	-2.03588	-1.03588	
0.617161	2	0.617161	4.86097	-1.55445	-2.55445	
0.514741	3	0.514741	7.7709	-1.63267	-0.632669	
0.682042	1	0.682042	2.93237	-1.13837	-4.13837	
0.460394	3	0.460394	8.68821	-1.14355	-0.143545	
0.676519	2	0.676519	4.43446	-2.08867	-3.08867	
0.627896	2	0.627896	4.77786	-1.65107	-2.65107	
0.707375	1	0.707375	2.82735	-1.36638	-4.36638	
0.769429	0	0.769429	1.29967	-0.924861	-5.92486	
0.62569	2	0.62569	4.79471	-1.63121	-2.63121	
0.556222	3	0.556222	7.19137	-2.006	-1.006	
0.45794	3	0.45794	8.73478	-1.12146	-0.121457	
0.7089	1	0.7089	2.82127	-1.3801	-4.3801	
0.587901	3	0.587901	6.80386	-2.29111	-1.29111	
0.613206	2	0.613206	4.89232	-1.51885	-2.51885	
0.487302	3	0.487302	8.20846	-1.38572	-0.385719	
0.613206	2	0.613206	4.89232	-1.51885	-2.51885	
0.597202	3	0.597202	6.6979	-2.37482	-1.37482	
0.773368	0	0.773368	1.29305	-0.960309	-5.96031	
0.579659	4	0.579659	8.62576	-3.21693	-0.216931	
0.719912	2	0.719912	4.16718	-2.47921	-3.47921	
0.611615	3	0.611615	6.54006	-2.50453	-1.50453	
0.743167	2	0.743167	4.03678	-2.6885	-3.6885	
0.582315	4	0.582315	8.58641	-3.24084	-0.240839	
0.708165	3	0.708165	5.6484	-3.37348	-2.37348	
0.632805	3	0.632805	6.32107	-2.69524	-1.69524	
0.665776	3	0.665776	6.00803	-2.99198	-1.99198	
0.695241	3	0.695241	5.7534	-3.25717	-2.25717	
0.652163	3	0.652163	6.13344	-2.86947	-1.86947	
0.695241	3	0.695241	5.7534	-3.25717	-2.25717	
0.623685	3	0.623685	6.4135	-2.61316	-1.61316	



#Generation 3 / 100
currentGen	3
evaluateCount	150
totalTime	11.2291
firstFrontCount	49
frontCount	2
avgEvalTime	4.22647e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.459977	2	0.459977	6.52206	-0.139793	-1.13979	
0.592584	1	0.592584	3.37505	-0.333255	-3.33325	
0.656492	1	0.656492	3.04649	-0.908432	-3.90843	
0.628278	1	0.628278	3.1833	-0.654506	-3.65451	
0.592584	1	0.592584	3.37505	-0.333255	-3.33325	
0.538844	2	0.538844	5.56748	-0.849594	-1.84959	
0.44902	2	0.44902	6.68122	-0.0411768	-1.04118	
0.609015	1	0.609015	3.28399	-0.481138	-3.48114	
0.560095	1	0.560095	3.57083	-0.040851	-3.04085	
0.489485	2	0.489485	6.12889	-0.405367	-1.40537	
0.567164	1	0.567164	3.52632	-0.104476	-3.10448	
0.475455	2	0.475455	6.30975	-0.279095	-1.27909	
0.534366	2	0.534366	5.61413	-0.809296	-1.8093	
0.497816	2	0.497816	6.02633	-0.480341	-1.48034	
0.572904	1	0.572904	3.49099	-0.156136	-3.15614	
0.47694	2	0.47694	6.2901	-0.292462	-1.29246	
0.567164	1	0.567164	3.52632	-0.104476	-3.10448	
0.469287	2	0.469287	6.39267	-0.223587	-1.22359	
0.457724	2	0.457724	6.55417	-0.119515	-1.11951	
0.658772	1	0.658772	3.03595	-0.928945	-3.92894	
0.636228	1	0.636228	3.14353	-0.726049	-3.72605	
0.658652	1	0.658652	3.0365	-0.927872	-3.92787	
0.459977	2	0.459977	6.52206	-0.139793	-1.13979	
0.457737	2	0.457737	6.55398	-0.119637	-1.11964	
0.519191	2	0.519191	5.77823	-0.672715	-1.67271	
0.632805	1	0.632805	3.16053	-0.695243	-3.69524	
0.460429	2	0.460429	6.51566	-0.143864	-1.14386	
0.628278	1	0.628278	3.1833	-0.654506	-3.65451	
0.535692	2	0.535692	5.60023	-0.82123	-1.82123	
0.468417	2	0.468417	6.40456	-0.215749	-1.21575	
0.694147	0	0.694147	1.44062	-0.247326	-5.24733	
0.47999	2	0.47999	6.25012	-0.319914	-1.31991	
0.592584	1	0.592584	3.37505	-0.333255	-3.33325	
0.468417	2	0.468417	6.40456	-0.215749	-1.21575	
0.503556	2	0.503556	5.95763	-0.532002	-1.532	
0.503556	2	0.503556	5.95763	-0.532002	-1.532	
0.532027	2	0.532027	5.63881	-0.788242	-1.78824	
0.671213	0	0.671213	1.48984	-0.0409171	-5.04092	
0.740597	0	0.740597	1.35026	-0.665376	-5.66538	
0.659568	1	0.659568	3.03229	-0.936109	-3.93611	
0.628278	1	0.628278	3.1833	-0.654506	-3.65451	
0.577362	1	0.577362	3.46403	-0.196256	-3.19626	
0.535692	2	0.535692	5.60023	-0.82123	-1.82123	
0.628278	1	0.628278	3.1833	-0.654506	-3.65451	
0.459686	2	0.459686	6.52619	-0.137178	-1.13718	
0.459977	2	0.459977	6.52206	-0.139793	-1.13979	
0.628278	1	0.628278	3.1833	-0.654506	-3.65451	
0.499943	2	0.499943	6.00068	-0.499491	-1.49949	
0.743214	0	0.743214	1.34551	-0.688922	-5.68892	
0.454493	3	0.454493	8.80102	-1.09043	-0.0904335	



#Generation 4 / 100
currentGen	4
evaluateCount	200
totalTime	11.4558
firstFrontCount	50
frontCount	1
avgEvalTime	3.37108e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.738419	0	0.738419	1.35425	-0.645769	-5.64577	
0.538221	2	0.538221	5.57392	-0.843991	-1.84399	
0.560095	1	0.560095	3.57083	-0.040851	-3.04085	
0.671213	0	0.671213	1.48984	-0.0409171	-5.04092	
0.658652	1	0.658652	3.0365	-0.927872	-3.92787	
0.717939	0	0.717939	1.39288	-0.461449	-5.46145	
0.688361	0	0.688361	1.45273	-0.195248	-5.19525	
0.636228	1	0.636228	3.14353	-0.726049	-3.72605	
0.656492	1	0.656492	3.04649	-0.908432	-3.90843	
0.624653	1	0.624653	3.20178	-0.621875	-3.62187	
0.560095	1	0.560095	3.57083	-0.040851	-3.04085	
0.505241	2	0.505241	5.93776	-0.547166	-1.54717	
0.609015	1	0.609015	3.28399	-0.481138	-3.48114	
0.519191	2	0.519191	5.77823	-0.672715	-1.67271	
0.607938	1	0.607938	3.28981	-0.471442	-3.47144	
0.585702	1	0.585702	3.41471	-0.271317	-3.27132	
0.593243	1	0.593243	3.3713	-0.339184	-3.33918	
0.68074	0	0.68074	1.46899	-0.126658	-5.12666	
0.523106	2	0.523106	5.73498	-0.707954	-1.70795	
0.532027	2	0.532027	5.63881	-0.788242	-1.78824	
0.47999	2	0.47999	6.25012	-0.319914	-1.31991	
0.567164	1	0.567164	3.52632	-0.104476	-3.10448	
0.473142	2	0.473142	6.3406	-0.258274	-1.25827	
0.454446	2	0.454446	6.60144	-0.0900139	-1.09001	
0.486316	2	0.486316	6.16883	-0.376841	-1.37684	
0.466058	2	0.466058	6.43697	-0.194519	-1.19452	
0.489485	2	0.489485	6.12889	-0.405367	-1.40537	
0.497816	2	0.497816	6.02633	-0.480341	-1.48034	
0.44902	2	0.44902	6.68122	-0.0411768	-1.04118	
0.577362	1	0.577362	3.46403	-0.196256	-3.19626	
0.46044	2	0.46044	6.51551	-0.143959	-1.14396	
0.572904	1	0.572904	3.49099	-0.156136	-3.15614	
0.592584	1	0.592584	3.37505	-0.333255	-3.33325	
0.56468	1	0.56468	3.54183	-0.0821174	-3.08212	
0.476477	2	0.476477	6.29621	-0.288296	-1.2883	
0.499983	2	0.499983	6.00021	-0.499844	-1.49984	
0.560338	1	0.560338	3.56928	-0.04304	-3.04304	
0.572904	1	0.572904	3.49099	-0.156136	-3.15614	
0.577119	1	0.577119	3.46549	-0.194067	-3.19407	
0.457737	2	0.457737	6.55398	-0.119637	-1.11964	
0.536314	2	0.536314	5.59374	-0.826822	-1.82682	
0.632609	1	0.632609	3.16151	-0.693483	-3.69348	
0.489485	2	0.489485	6.12889	-0.405367	-1.40537	
0.671213	0	0.671213	1.48984	-0.0409171	-5.04092	
0.628278	1	0.628278	3.1833	-0.654506	-3.65451	
0.497816	2	0.497816	6.02633	-0.480341	-1.48034	
0.502494	2	0.502494	5.97022	-0.522447	-1.52245	
0.447969	2	0.447969	6.69689	-0.0317239	-1.03172	
0.628278	1	0.628278	3.1833	-0.654506	-3.65451	



#Generation 5 / 100
currentGen	5
evaluateCount	250
totalTime	11.6557
firstFrontCount	50
frontCount	1
avgEvalTime	3.46552e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.731331	0	0.731331	1.36737	-0.581978	-5.58198	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.551663	2	0.551663	5.4381	-0.964965	-1.96497	
0.560095	1	0.560095	3.57083	-0.040851	-3.04085	
0.668533	0	0.668533	1.49581	-0.0168009	-5.0168	
0.656492	1	0.656492	3.04649	-0.908432	-3.90843	
0.519191	2	0.519191	5.77823	-0.672715	-1.67271	
0.497254	2	0.497254	6.03314	-0.475284	-1.47528	
0.704865	0	0.704865	1.41871	-0.343781	-5.34378	
0.652797	1	0.652797	3.06374	-0.875175	-3.87518	
0.525606	2	0.525606	5.70769	-0.730458	-1.73046	
0.637866	1	0.637866	3.13546	-0.740791	-3.74079	
0.585702	1	0.585702	3.41471	-0.271314	-3.27131	
0.610661	1	0.610661	3.27514	-0.495946	-3.49595	
0.538221	2	0.538221	5.57392	-0.843991	-1.84399	
0.538221	2	0.538221	5.57392	-0.843991	-1.84399	
0.577362	1	0.577362	3.46403	-0.196256	-3.19626	
0.594737	1	0.594737	3.36283	-0.352637	-3.35264	
0.47999	2	0.47999	6.25012	-0.319914	-1.31991	
0.607835	1	0.607835	3.29037	-0.470515	-3.47051	
0.624653	1	0.624653	3.20178	-0.621875	-3.62187	
0.46044	2	0.46044	6.51551	-0.143959	-1.14396	
0.624653	1	0.624653	3.20178	-0.621875	-3.62187	
0.688361	0	0.688361	1.45273	-0.195248	-5.19525	
0.571091	1	0.571091	3.50207	-0.139815	-3.13982	
0.717621	0	0.717621	1.39349	-0.458587	-5.45859	
0.473142	2	0.473142	6.3406	-0.258274	-1.25827	
0.677828	0	0.677828	1.4753	-0.100451	-5.10045	
0.636228	1	0.636228	3.14353	-0.726049	-3.72605	
0.728104	0	0.728104	1.37343	-0.552936	-5.55294	
0.486594	2	0.486594	6.1653	-0.379347	-1.37935	
0.560095	1	0.560095	3.57083	-0.040851	-3.04085	
0.495239	2	0.495239	6.05768	-0.457149	-1.45715	
0.44902	2	0.44902	6.68122	-0.0411768	-1.04118	
0.453982	2	0.453982	6.60819	-0.0858391	-1.08584	
0.592584	1	0.592584	3.37505	-0.333255	-3.33325	
0.466058	2	0.466058	6.43697	-0.194519	-1.19452	
0.717939	0	0.717939	1.39288	-0.461449	-5.46145	
0.489485	2	0.489485	6.12889	-0.405367	-1.40537	
0.567164	1	0.567164	3.52632	-0.104476	-3.10448	
0.470731	2	0.470731	6.37306	-0.236581	-1.23658	
0.452953	2	0.452953	6.6232	-0.0765776	-1.07658	
0.567164	1	0.567164	3.52632	-0.104476	-3.10448	
0.467126	2	0.467126	6.42225	-0.204136	-1.20414	
0.683025	0	0.683025	1.46407	-0.147226	-5.14723	
0.671213	0	0.671213	1.48984	-0.0409171	-5.04092	
0.688361	0	0.688361	1.45273	-0.195248	-5.19525	
0.683832	0	0.683832	1.46235	-0.15449	-5.15449	
0.636228	1	0.636228	3.14353	-0.726049	-3.72605	
0.656492	1	0.656492	3.04649	-0.908432	-3.90843	



#Generation 6 / 100
currentGen	6
evaluateCount	300
totalTime	11.9458
firstFrontCount	50
frontCount	1
avgEvalTime	3.17289e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.731331	0	0.731331	1.36737	-0.581978	-5.58198	
0.557174	2	0.557174	5.38432	-1.01457	-2.01457	
0.560095	1	0.560095	3.57083	-0.040851	-3.04085	
0.666877	0	0.666877	1.49953	-0.00189429	-5.00189	
0.656492	1	0.656492	3.04649	-0.908432	-3.90843	
0.637866	1	0.637866	3.13546	-0.740791	-3.74079	
0.575186	1	0.575186	3.47714	-0.176671	-3.17667	
0.510435	2	0.510435	5.87734	-0.593913	-1.59391	
0.497254	2	0.497254	6.03314	-0.475284	-1.47528	
0.528366	2	0.528366	5.67788	-0.755298	-1.7553	
0.538221	2	0.538221	5.57392	-0.843991	-1.84399	
0.538221	2	0.538221	5.57392	-0.843991	-1.84399	
0.603732	1	0.603732	3.31273	-0.433592	-3.43359	
0.632125	1	0.632125	3.16393	-0.689124	-3.68912	
0.551663	2	0.551663	5.4381	-0.964965	-1.96497	
0.486594	2	0.486594	6.1653	-0.379347	-1.37935	
0.652797	1	0.652797	3.06374	-0.875175	-3.87518	
0.449153	2	0.449153	6.67924	-0.0423753	-1.04238	
0.569872	1	0.569872	3.50956	-0.128844	-3.12884	
0.684856	0	0.684856	1.46016	-0.1637	-5.1637	
0.618108	1	0.618108	3.23568	-0.562968	-3.56297	
0.584742	1	0.584742	3.42031	-0.262674	-3.26267	
0.551663	2	0.551663	5.4381	-0.964965	-1.96497	
0.46044	2	0.46044	6.51551	-0.143959	-1.14396	
0.624653	1	0.624653	3.20178	-0.621875	-3.62187	
0.593207	1	0.593207	3.3715	-0.338862	-3.33886	
0.513347	2	0.513347	5.844	-0.620127	-1.62013	
0.674643	0	0.674643	1.48226	-0.071789	-5.07179	
0.717621	0	0.717621	1.39349	-0.458587	-5.45859	
0.585702	1	0.585702	3.41471	-0.271314	-3.27131	
0.473142	2	0.473142	6.3406	-0.258274	-1.25827	
0.564313	1	0.564313	3.54413	-0.0788204	-3.07882	
0.698525	0	0.698525	1.43159	-0.286724	-5.28672	
0.492337	2	0.492337	6.09338	-0.431037	-1.43104	
0.594737	1	0.594737	3.36283	-0.352637	-3.35264	
0.520481	2	0.520481	5.7639	-0.684332	-1.68433	
0.46539	2	0.46539	6.44621	-0.188507	-1.18851	
0.611621	1	0.611621	3.27	-0.504587	-3.50459	
0.480181	2	0.480181	6.24765	-0.321628	-1.32163	
0.693706	0	0.693706	1.44153	-0.243355	-5.24336	
0.708658	0	0.708658	1.41112	-0.37792	-5.37792	
0.622548	1	0.622548	3.21261	-0.602928	-3.60293	
0.471311	2	0.471311	6.36522	-0.241801	-1.2418	
0.51911	2	0.51911	5.77912	-0.671994	-1.67199	
0.46044	2	0.46044	6.51551	-0.143959	-1.14396	
0.728104	0	0.728104	1.37343	-0.552936	-5.55294	
0.47999	2	0.47999	6.25012	-0.319914	-1.31991	
0.464349	2	0.464349	6.46066	-0.179139	-1.17914	



#Generation 7 / 100
currentGen	7
evaluateCount	350
totalTime	12.1964
firstFrontCount	50
frontCount	1
avgEvalTime	5.01893e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.731331	0	0.731331	1.36737	-0.581978	-5.58198	
0.731331	0	0.731331	1.36737	-0.581978	-5.58198	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.557793	1	0.557793	3.58556	-0.0201358	-3.02014	
0.557174	2	0.557174	5.38432	-1.01457	-2.01457	
0.666877	0	0.666877	1.49953	-0.00189429	-5.00189	
0.65849	1	0.65849	3.03725	-0.926409	-3.92641	
0.492337	2	0.492337	6.09338	-0.431037	-1.43104	
0.458085	2	0.458085	6.549	-0.122768	-1.12277	
0.524749	2	0.524749	5.71702	-0.722737	-1.72274	
0.550537	2	0.550537	5.44923	-0.954832	-1.95483	
0.656492	1	0.656492	3.04649	-0.908432	-3.90843	
0.505928	2	0.505928	5.9297	-0.553352	-1.55335	
0.580648	1	0.580648	3.44442	-0.225836	-3.22584	
0.476656	2	0.476656	6.29385	-0.289903	-1.2899	
0.473142	2	0.473142	6.3406	-0.258274	-1.25827	
0.625805	1	0.625805	3.19588	-0.632247	-3.63225	
0.538221	2	0.538221	5.57392	-0.843991	-1.84399	
0.610446	1	0.610446	3.27629	-0.494018	-3.49402	
0.637866	1	0.637866	3.13546	-0.740791	-3.74079	
0.538221	2	0.538221	5.57392	-0.843991	-1.84399	
0.593637	1	0.593637	3.36906	-0.34273	-3.34273	
0.449153	2	0.449153	6.67924	-0.0423753	-1.04238	
0.708658	0	0.708658	1.41112	-0.37792	-5.37792	
0.520481	2	0.520481	5.7639	-0.684332	-1.68433	
0.569765	1	0.569765	3.51022	-0.127888	-3.12789	
0.719058	0	0.719058	1.39071	-0.47152	-5.47152	
0.684856	0	0.684856	1.46016	-0.1637	-5.1637	
0.602264	1	0.602264	3.3208	-0.420378	-3.42038	
0.594737	1	0.594737	3.36283	-0.352637	-3.35264	
0.560095	1	0.560095	3.57083	-0.040851	-3.04085	
0.555095	2	0.555095	5.40448	-0.995859	-1.99586	
0.510435	2	0.510435	5.87734	-0.593913	-1.59391	
0.514792	2	0.514792	5.82759	-0.633132	-1.63313	
0.701385	0	0.701385	1.42575	-0.312469	-5.31247	
0.690852	0	0.690852	1.44749	-0.217667	-5.21767	
0.603732	1	0.603732	3.31273	-0.433592	-3.43359	
0.679195	0	0.679195	1.47233	-0.112756	-5.11276	
0.609093	1	0.609093	3.28357	-0.48184	-3.48184	
0.717543	0	0.717543	1.39365	-0.457883	-5.45788	
0.673115	0	0.673115	1.48563	-0.0580368	-5.05804	
0.626372	1	0.626372	3.19299	-0.637347	-3.63735	
0.631695	1	0.631695	3.16608	-0.685256	-3.68526	
0.575186	1	0.575186	3.47714	-0.176671	-3.17667	
0.569872	1	0.569872	3.50956	-0.128844	-3.12884	
0.575186	1	0.575186	3.47714	-0.176671	-3.17667	
0.637866	1	0.637866	3.13546	-0.740791	-3.74079	
0.513347	2	0.513347	5.844	-0.620127	-1.62013	
0.560095	1	0.560095	3.57083	-0.040851	-3.04085	



#Generation 8 / 100
currentGen	8
evaluateCount	400
totalTime	12.4455
firstFrontCount	50
frontCount	1
avgEvalTime	4.86052e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.731331	0	0.731331	1.36737	-0.581978	-5.58198	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.731331	0	0.731331	1.36737	-0.581978	-5.58198	
0.556085	1	0.556085	3.59657	-0.00476502	-3.00477	
0.555095	2	0.555095	5.40448	-0.995859	-1.99586	
0.666877	0	0.666877	1.49953	-0.00189429	-5.00189	
0.65849	1	0.65849	3.03725	-0.926409	-3.92641	
0.637866	1	0.637866	3.13546	-0.740791	-3.74079	
0.534707	2	0.534707	5.61055	-0.812364	-1.81236	
0.59473	1	0.59473	3.36287	-0.352572	-3.35257	
0.548455	2	0.548455	5.46991	-0.936096	-1.9361	
0.609093	1	0.609093	3.28357	-0.48184	-3.48184	
0.576557	1	0.576557	3.46887	-0.189014	-3.18901	
0.561243	1	0.561243	3.56352	-0.0511847	-3.05118	
0.477621	2	0.477621	6.28113	-0.298593	-1.29859	
0.709153	0	0.709153	1.41013	-0.382376	-5.38238	
0.576497	1	0.576497	3.46923	-0.18847	-3.18847	
0.650318	1	0.650318	3.07542	-0.852862	-3.85286	
0.62354	1	0.62354	3.20749	-0.61186	-3.61186	
0.500839	2	0.500839	5.98995	-0.507551	-1.50755	
0.622487	1	0.622487	3.21292	-0.602381	-3.60238	
0.492337	2	0.492337	6.09338	-0.431037	-1.43104	
0.531478	2	0.531478	5.64464	-0.783298	-1.7833	
0.506003	2	0.506003	5.92882	-0.554023	-1.55402	
0.492337	2	0.492337	6.09338	-0.431037	-1.43104	
0.464011	2	0.464011	6.46536	-0.176099	-1.1761	
0.510667	2	0.510667	5.87466	-0.596007	-1.59601	
0.457672	2	0.457672	6.55492	-0.119044	-1.11904	
0.682226	0	0.682226	1.46579	-0.140035	-5.14003	
0.521038	2	0.521038	5.75773	-0.689345	-1.68935	
0.602264	1	0.602264	3.3208	-0.420378	-3.42038	
0.698221	0	0.698221	1.43221	-0.283987	-5.28399	
0.473142	2	0.473142	6.3406	-0.258274	-1.25827	
0.524919	2	0.524919	5.71517	-0.724272	-1.72427	
0.59551	1	0.59551	3.35847	-0.359591	-3.35959	
0.514718	2	0.514718	5.82844	-0.632461	-1.63246	
0.517077	2	0.517077	5.80184	-0.653692	-1.65369	
0.603732	1	0.603732	3.31273	-0.433592	-3.43359	
0.690362	0	0.690362	1.44852	-0.213254	-5.21325	
0.449153	2	0.449153	6.67924	-0.0423753	-1.04238	
0.690852	0	0.690852	1.44749	-0.217667	-5.21767	
0.4629	2	0.4629	6.48088	-0.166104	-1.1661	
0.554694	2	0.554694	5.40839	-0.992247	-1.99225	
0.701385	0	0.701385	1.42575	-0.312469	-5.31247	
0.473142	2	0.473142	6.3406	-0.258274	-1.25827	
0.67292	0	0.67292	1.48606	-0.0562808	-5.05628	
0.458421	2	0.458421	6.5442	-0.125788	-1.12579	
0.708658	0	0.708658	1.41112	-0.37792	-5.37792	
0.653974	1	0.653974	3.05823	-0.885763	-3.88576	



#Generation 9 / 100
currentGen	9
evaluateCount	450
totalTime	12.6815
firstFrontCount	49
frontCount	2
avgEvalTime	8.21404e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.731331	0	0.731331	1.36737	-0.581978	-5.58198	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.731331	0	0.731331	1.36737	-0.581978	-5.58198	
0.44547	2	0.44547	6.73446	-0.00923131	-1.00923	
0.556123	2	0.556123	5.39449	-1.00511	-2.00511	
0.556085	1	0.556085	3.59657	-0.00476502	-3.00477	
0.666877	0	0.666877	1.49953	-0.00189429	-5.00189	
0.65849	1	0.65849	3.03725	-0.926409	-3.92641	
0.591698	1	0.591698	3.3801	-0.325281	-3.32528	
0.464011	2	0.464011	6.46536	-0.176099	-1.1761	
0.637866	1	0.637866	3.13546	-0.740791	-3.74079	
0.686005	0	0.686005	1.45771	-0.174049	-5.17405	
0.59473	1	0.59473	3.36287	-0.352572	-3.35257	
0.454046	2	0.454046	6.60726	-0.0864143	-1.08641	
0.563372	1	0.563372	3.55005	-0.0703485	-3.07035	
0.541689	2	0.541689	5.53824	-0.875197	-1.8752	
0.650318	1	0.650318	3.07542	-0.852862	-3.85286	
0.607772	1	0.607772	3.29071	-0.469948	-3.46995	
0.576497	1	0.576497	3.46923	-0.18847	-3.18847	
0.72432	0	0.72432	1.3806	-0.518883	-5.51888	
0.481036	2	0.481036	6.23654	-0.32932	-1.32932	
0.633081	1	0.633081	3.15916	-0.697725	-3.69773	
0.609093	1	0.609093	3.28357	-0.48184	-3.48184	
0.619977	1	0.619977	3.22593	-0.579789	-3.57979	
0.699975	0	0.699975	1.42862	-0.299771	-5.29977	
0.576557	1	0.576557	3.46887	-0.189014	-3.18901	
