#NSGA2
popsize 50
maxGen 500
numVar 30
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 500
currentGen	1
evaluateCount	50
totalTime	0.312263
firstFrontCount	11
frontCount	8
avgEvalTime	0.000201932
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Obj1	Obj2	
0.663993	0.761153	0.748706	0.133422	0.0106622	0.846636	0.190164	0.796215	0.16924	0.553227	0.623864	0.790722	0.596244	0.863327	0.411663	0.294053	0.01326	0.0271779	0.737988	0.884131	0.958294	0.1143	0.889825	0.765358	0.226672	0.957913	0.014191	0.845516	0.101132	0.483318	0.663993	3.66814	
0.48433	0.943917	0.08232	0.809905	0.680544	0.782055	0.463903	0.652685	0.274542	0.117571	0.113711	0.918411	0.206258	0.828684	0.10917	0.437128	0.447341	0.115899	0.233946	0.464229	0.481492	0.848282	0.476198	0.971861	0.318352	0.439547	0.580407	0.810229	0.71028	0.704909	0.48433	4.00649	
0.411967	0.255916	0.871276	0.983575	0.736374	0.904296	0.308767	0.484665	0.628426	0.892169	0.19642	0.813423	0.0455837	0.0158658	0.802581	0.455798	0.354062	0.441721	0.364885	0.784649	0.763821	0.327492	0.634591	0.203567	0.200216	0.299811	0.718488	0.00761261	0.108907	0.814296	0.411967	3.97311	
0.876744	0.379344	0.0729473	0.950947	0.354728	0.658207	0.392338	0.187423	0.995546	0.680619	0.0369134	0.104253	0.893836	0.611275	0.662032	0.764851	0.444906	0.78912	0.0517218	0.723518	0.401883	0.609466	0.677512	0.666651	0.926821	0.849711	0.212503	0.645234	0.0159927	0.968979	0.876744	3.61069	
0.046736	0.367359	0.766992	0.252376	0.517187	0.952585	0.720363	0.984536	0.0400908	0.0973887	0.12593	0.522984	0.896714	0.527691	0.184767	0.49606	0.0405537	0.854819	0.634079	0.714834	0.399032	0.89371	0.255234	0.542395	0.765601	0.970743	0.39306	0.459728	0.867745	0.996056	0.046736	5.50888	
0.367553	0.256427	0.845309	0.70421	0.52631	0.699481	0.829265	0.806858	0.963913	0.518528	0.630597	0.419224	0.802649	0.324571	0.0270206	0.208588	0.500433	0.246723	0.252299	0.496616	0.919548	0.735849	0.886583	0.0586596	0.688355	0.937503	0.459967	0.858084	0.24567	0.727812	0.367553	4.64178	
0.452769	0.653895	0.0705958	0.0961384	0.0746573	0.409419	0.955637	0.931765	0.533521	0.823751	0.907358	0.575026	0.224366	0.355456	0.969983	0.670335	0.628255	0.564767	0.533821	0.802904	0.659819	0.358275	0.234152	0.141347	0.368742	0.223896	0.239604	0.429552	0.829116	0.760914	0.452769	4.06223	
0.65647	0.597611	0.457619	0.661881	0.465739	0.45129	0.388405	0.353431	0.623301	0.482435	0.300534	0.513774	0.841809	0.28972	0.728183	0.910736	0.337252	0.413115	0.608271	0.469196	0.442309	0.0239507	0.209134	0.777	0.317591	0.714424	0.0732041	0.314471	0.553128	0.574613	0.65647	3.44458	
0.103333	0.99747	0.864418	0.632002	0.653266	0.092727	0.221963	0.176759	0.340084	0.261026	0.458162	0.310732	0.203107	0.794766	0.664844	0.933474	0.638149	0.702218	0.231124	0.937815	0.757803	0.599622	0.654157	0.228368	0.601683	0.0458272	0.704009	0.59109	0.671362	0.90463	0.103333	5.14347	
0.272387	0.108566	0.864559	0.82503	0.872513	0.577528	0.45621	0.559223	0.470981	0.780902	0.039323	0.357121	0.972073	0.558182	0.536196	0.742074	0.859111	0.0571867	0.632617	0.119064	0.188508	0.959534	0.579629	0.957341	0.546134	0.803789	0.028942	0.162093	0.261933	0.353872	0.272387	4.47768	
0.816612	0.936531	0.294269	0.499427	0.210387	0.470572	0.138073	0.952174	0.800948	0.711746	0.505909	0.315581	0.14055	0.621305	0.344227	0.505953	0.0986439	0.129027	0.337734	0.956711	0.0277779	0.85218	0.625708	0.3337	0.0686777	0.480636	0.607745	0.690042	0.532138	0.620323	0.816612	3.20792	
0.120632	0.908808	0.525796	0.770349	0.0235825	0.557084	0.341472	0.39199	0.378812	0.878189	0.991326	0.604437	0.464457	0.516745	0.456315	0.244145	0.0695468	0.753193	0.730185	0.972886	0.0532197	0.7071	0.213326	0.541921	0.319547	0.0952806	0.877856	0.0246196	0.250233	0.0389526	0.120632	4.45617	
0.222351	0.882476	0.254896	0.169419	0.721673	0.210588	0.792005	0.496084	0.757126	0.81418	0.705188	0.754157	0.0107313	0.428593	0.883782	0.476254	0.213187	0.0842599	0.682669	0.176436	0.303648	0.360176	0.710456	0.0930866	0.77343	0.158774	0.940831	0.2782	0.732008	0.673082	0.222351	4.40458	
0.55422	0.409494	0.21784	0.737578	0.211313	0.230807	0.409057	0.491479	0.586924	0.318008	0.22627	0.100929	0.160118	0.418785	0.025682	0.724571	0.855312	0.670755	0.0112723	0.805938	0.557162	0.48642	0.0345286	0.487789	0.68241	0.566781	0.40252	0.239085	0.380112	0.63331	0.55422	3.12721	
0.398678	0.794352	0.909063	0.0160875	0.904796	0.457129	0.648453	0.439017	0.191729	0.804467	0.0769851	0.9754	0.327929	0.504347	0.867658	0.0247613	0.950974	0.706616	0.191116	0.438681	0.542851	0.0549382	0.378844	0.379066	0.442645	0.41404	0.0150824	0.905199	0.607951	0.729698	0.398678	4.07292	
0.134779	0.742061	0.26023	0.515771	0.941473	0.392973	0.360559	0.3893	0.334825	0.174364	0.0783945	0.0913935	0.24802	0.126069	0.905739	0.414679	0.480726	0.522957	0.492882	0.988942	0.964329	0.603139	0.950486	0.112157	0.331476	0.187103	0.922723	0.0647548	0.709149	0.452671	0.134779	4.42735	
0.920101	0.0520707	0.72425	0.480733	0.454397	0.806611	0.314627	0.112611	0.842833	0.676798	0.271924	0.962736	0.895212	0.846805	0.928141	0.00631885	0.432997	0.0284139	0.410163	0.491085	0.897547	0.262704	0.20909	0.755677	0.888845	0.560711	0.878683	0.0758575	0.346877	0.945697	0.920101	3.5132	
0.0180946	0.177392	0.630346	0.204659	0.101655	0.0679328	0.57231	0.751683	0.0638242	0.823873	0.687313	0.615241	0.0197033	0.574914	0.776178	0.690568	0.780216	0.290963	0.236278	0.310514	0.487698	0.0241733	0.567093	0.614345	0.686805	0.433464	0.323862	0.74453	0.382501	0.891902	0.0180946	4.89284	
0.940703	0.230266	0.248991	0.346539	0.165408	0.965148	0.424897	0.576257	0.893885	0.96173	0.922942	0.728301	0.148173	0.789285	0.711287	0.402084	0.590244	0.704469	0.370585	0.574499	0.509362	0.75898	0.211033	0.259187	0.332343	0.083835	0.189731	0.399703	0.641503	0.29734	0.940703	3.21013	
0.667796	0.675529	0.0852555	0.258577	0.318251	0.937625	0.725423	0.368115	0.463224	0.200461	0.131734	0.941756	0.703107	0.533782	0.889744	0.0907552	0.996074	0.70906	0.799766	0.132398	0.596328	0.872208	0.124097	0.399793	0.317229	0.153641	0.291219	0.183065	0.601076	0.771397	0.667796	3.5248	
0.444147	0.570261	0.438353	0.0424758	0.662343	0.574901	0.217731	0.765139	0.714817	0.707504	0.797595	0.0205266	0.486581	0.159243	0.798651	0.147554	0.78145	0.954057	0.418495	0.675553	0.485798	0.245475	0.840794	0.715296	0.0851041	0.467927	0.724296	0.700515	0.709661	0.831196	0.444147	4.26793	
0.46119	0.196825	0.460946	0.0450751	0.863513	0.0267395	0.820477	0.428057	0.5921	0.897592	0.555889	0.0815029	0.192781	0.807724	0.297144	0.647614	0.873538	0.669267	0.292934	0.731124	0.15834	0.490022	0.170613	0.173119	0.41262	0.701099	0.769928	0.135082	0.794708	0.179454	0.46119	3.63356	
0.387717	0.604004	0.171387	0.908267	0.731223	0.249341	0.791966	0.244864	0.760601	0.0528762	0.0597225	0.766754	0.61053	0.704533	0.358577	0.492177	0.025704	0.0728063	0.838421	0.54576	0.796776	0.749768	0.142226	0.5338	0.271589	0.292242	0.168347	0.0903191	0.197986	0.515248	0.387717	3.57	
0.974513	0.160357	0.451456	0.779406	0.0543888	0.224963	0.345151	0.154235	0.380907	0.319329	0.209894	0.475842	0.485133	0.205453	0.259339	0.190227	0.0911188	0.730251	0.544942	0.0146054	0.305883	0.745157	0.81115	0.340148	0.396233	0.118043	0.454543	0.478217	0.972275	0.195509	0.974513	2.31472	
0.101768	0.560027	0.457926	0.37956	0.514002	0.969035	0.931701	0.628189	0.796445	0.151512	0.788353	0.610938	0.689081	0.622594	0.736497	0.860402	0.781527	0.370845	0.0309635	0.0470852	0.657814	0.694509	0.683576	0.289544	0.451572	0.0594094	0.472569	0.836582	0.628977	0.0900142	0.101768	5.12581	
0.660865	0.330325	0.973235	0.570721	0.568436	0.938573	0.482653	0.285551	0.867293	0.921513	0.852267	0.355976	0.632485	0.557469	0.912814	0.606648	0.67817	0.544275	0.449405	0.865721	0.120376	0.291514	0.781311	0.846804	0.253755	0.0874768	0.362261	0.455276	0.147553	0.062281	0.660865	3.92881	
0.386074	0.210628	0.544134	0.0175902	0.486411	0.398318	0.954268	0.259431	0.888984	0.277032	0.778974	0.777843	0.766185	0.578798	0.918925	0.537471	0.443206	0.353834	0.488967	0.806393	0.0104364	0.0924941	0.420204	0.118073	0.191285	0.335081	0.954185	0.146108	0.350979	0.539613	0.386074	3.81328	
0.404523	0.446477	0.846713	0.400788	0.147327	0.132	0.918075	0.911728	0.022011	0.962725	0.612911	0.186727	0.901216	0.764209	0.494172	0.15968	0.51473	0.0839219	0.627634	0.271743	0.89741	0.268923	0.661396	0.604724	0.869217	0.265791	0.404221	0.702243	0.27521	0.6887	0.404523	4.15413	
0.238892	0.133629	0.934713	0.691094	0.690802	0.681359	0.679334	0.644772	0.347327	0.236205	0.262567	0.17558	0.0843576	0.843731	0.616949	0.74905	0.314265	0.729236	0.533853	0.156904	0.560704	0.557204	0.595251	0.691015	0.137833	0.453426	0.216804	0.728829	0.45029	0.735075	0.238892	4.39049	
0.112947	0.470393	0.0970968	0.602035	0.307474	0.480084	0.0324839	0.791809	0.878997	0.861888	0.591876	0.244143	0.13621	0.723288	0.409054	0.590293	0.154643	0.650665	0.414076	0.588738	0.221558	0.44072	0.474021	0.102818	0.888132	0.994082	0.441178	0.590757	0.831686	0.950542	0.112947	4.84464	
0.797344	0.782677	0.771263	0.377135	0.311752	0.160914	0.0120674	0.038238	0.18756	0.864116	0.989765	0.422187	0.682212	0.297813	0.677609	0.626914	0.573021	0.0042478	0.671455	0.746583	0.15392	0.148089	0.817847	0.594931	0.746435	0.9629	0.134106	0.0359764	0.969308	0.431788	0.797344	3.32876	
0.26855	0.381216	0.974991	0.243831	0.606847	0.935716	0.192447	0.0584866	0.792226	0.176262	0.612498	0.312593	0.535511	0.556523	0.906764	0.376253	0.146921	0.437685	0.0294456	0.0319465	0.983531	0.270605	0.546148	0.224621	0.375231	0.954612	0.956944	0.0723905	0.559049	0.805561	0.26855	4.16243	
0.675785	0.0956943	0.292434	0.154301	0.544647	0.255916	0.193256	0.157988	0.414339	0.966525	0.483234	0.951293	0.405217	0.868758	0.597457	0.171054	0.771147	0.259225	0.59354	0.341491	0.0451187	0.114742	0.780969	0.872017	0.468543	0.704446	0.388842	0.496974	0.83746	0.197159	0.675785	3.29755	
0.816486	0.948114	0.986904	0.844417	0.331328	0.568253	0.968377	0.99998	0.80901	0.642687	0.803515	0.279632	0.683074	0.0851536	0.161259	0.058129	0.582707	0.968552	0.952998	0.0510354	0.581642	0.609131	0.840426	0.096025	0.340211	0.609008	0.107261	0.344421	0.297805	0.669925	0.816486	3.81447	



#Generation 10 / 500
currentGen	10
evaluateCount	500
totalTime	5.40744
firstFrontCount	13
frontCount	4
avgEvalTime	3.30794e-05
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Obj1	Obj2	
0.072738	0.550855	0.171761	0.770349	0.0235825	0.222298	0.341472	0.39208	0.378812	0.386342	0.991326	0.604437	0.464457	0.516745	0.456315	0.0967293	0.0785464	0.753193	0.161079	0.864511	0.0532197	0.166516	0.213326	0.336633	0.254448	0	0.877856	0.0246196	0.202188	0.0389526	0.072738	3.67092	
0.974513	0.160357	0.451456	0	0.0543888	0.224963	0.304988	0.154235	0.380907	0.319329	0.275688	0.472582	0.12399	0.491015	0.259339	0.51248	0.0471031	0.730251	0.0230371	0.0146054	0.270727	0.745157	0.123895	0.340148	0.567516	0.118043	0.0850826	0.37638	0.400502	0.195509	0.974513	1.69163	
0.0280876	0.742061	0.315203	0.201521	0.941473	0.147728	0.291129	0.388317	0.200542	0.0140144	0.0378137	0.0913935	0.24802	0.126069	0.905739	0.595168	0.437851	0.558617	0.516726	0.304038	0.699989	0.538512	0.0748425	0.173833	0.331476	0.187103	0.303557	0.0647548	0.59069	0.603459	0.0280876	3.95197	
0.225078	0.315939	0.839462	0.560655	0.245541	0.00156118	0.410797	0.256367	0.125373	0.951493	0.836284	0.467975	0.0503127	0.0481084	0.211071	0.952773	0.460408	0.710383	0.375864	0.189628	0.0773855	0.0850846	0.239347	0.284819	0.22863	0.895012	0.0692557	0	0.100207	0.0748148	0.225078	3.1601	
0.961558	0.102864	0.451456	0.615638	0.0543888	0.224963	0.336254	0.154235	0.158208	0.421554	0.209894	0.510177	0.391755	0.0388351	0.176847	0.51248	0.0911188	0.758302	0	0.0146054	0.0984802	0.716188	0.81115	0.157943	0.396233	0.229633	0.500637	0.478217	0.0251305	0.195509	0.961558	1.84451	
0.134779	0.90934	0.315203	0.26866	0.487064	0.127369	0.298368	0.388317	0.200542	0.0907461	0.0378137	0.0934993	0.278372	0.126069	0.412682	0.251448	0.437851	0.522957	0.460828	0.0899466	0.698668	0.574874	0.729336	0.173833	0.331476	0.187103	0.922723	0.0647548	0.59069	0.603459	0.134779	3.55022	
0.894122	0.160357	0.451456	0	0.0546412	0.224963	0.304988	0.154235	0.380907	0.319329	0.275688	0.472582	0.12399	0.374918	0.259339	0.51248	0.0471031	0.939454	0.0230371	0.399209	0.270727	0.745157	0.121399	0.376888	0.567516	0.118043	0.0850826	0.37638	0.400502	0.195509	0.894122	1.88954	
0.457148	0.703097	0.169568	0.737578	0.110017	0.229022	0.238054	0.397463	0	0.165798	0.163485	0.536319	0.110879	0.257805	0.0747033	0.724571	0.654919	0.52391	0.0112723	0.543583	0.263787	0.138671	0.0370246	0.341234	0.687288	0.43802	0.298422	0.224821	0.380112	0.134254	0.457148	2.55221	
0.883101	0.102864	0.467966	0.632401	0	0.224963	0.336254	0.154235	0.380907	0.421554	0.209894	0.510177	0.391755	0.0860718	0.190307	0.51248	0.012601	0.758302	0	0.037874	0.305883	0.745157	0.334768	0.068205	0.396233	0.125453	0.500637	0.406644	0.551535	0.195509	0.883101	1.97717	
0.173305	0.263597	0.798742	0.162015	0.303537	0.00156118	0.410797	0.256367	0.125373	0.951493	0.98391	0.467975	0.170686	0.0261	0.192668	0.834182	0.12008	0.710383	0.375864	0.125154	0.259025	0.211788	0.158319	0.284819	0.22863	0.895012	0.0692557	0.326235	0.100207	0.7106	0.173305	3.40633	
0.718064	0.160357	0.451456	0.106626	0	0.172365	0.393037	0.217275	0.380907	0.319329	0.209894	0.47572	0.0548427	0.491015	0.467839	0.51248	0.0129484	0.48525	0.171823	0.202425	0.349707	0	0.443953	0.412895	0.567516	0.337339	0.335166	0.478217	0.362695	0.195509	0.718064	2.08662	
0	0.908808	0.171761	0.672058	0.0252111	0	0.341472	0.39199	0.378812	0.360342	0.991326	0.604437	0.464457	0.516745	0.456315	0.0967293	0.0785464	0.753193	0.00126192	0.864511	0.0532197	0.7071	0.213326	0.336633	0.319547	0.0952806	0.877856	0.0246196	0.308936	0.0389526	0	4.43038	
0.3378	0.409494	0.123089	0.389708	0.143476	0.229022	0.238054	0.397463	0	0.318008	0.214389	0.536319	0.160118	0.316448	0.0747033	0.471828	0.776983	0.885023	0.0112723	0.805938	0.0543066	0.144128	0.0345286	0.487789	0.687288	0.365145	0.40252	0.224821	0.380112	0.224629	0.3378	2.79515	
0.910046	0.160357	0.451456	0	0.0543888	0.249979	0.373986	0.154235	0.380907	0.319329	0.275688	0.475842	0.163001	0.609096	0.259339	0.51248	0.0911188	0.737353	0.0230371	0.0146054	0.270727	0.745157	0.81115	0.304666	0.49809	0.118043	0.376502	0.478217	0.400502	0.177587	0.910046	2.04962	
0.3378	0.409494	0.123089	0.782001	0.143476	0.229022	0.238054	0.397463	0	0.318008	0.214389	0.536319	0.160118	0.418785	0.0747033	0.724571	0.855312	0.885023	0.0112723	0.805938	0.0543066	0.144128	0.0345286	0.487789	0.687288	0.566781	0.40252	0.224821	0.380112	0.224629	0.3378	3.06827	
0.290755	0.409494	0.169568	0.782001	0.143476	0.229022	0.132163	0.397463	0	0.318008	0.214389	0.536319	0.160118	0.418785	0.0747033	0.724571	0.855312	0.885023	0.0112723	0.805938	0.181581	0.227318	0.0345286	0.487789	0.687288	0.566781	0.40252	0.224821	0.380112	0.224629	0.290755	3.19581	
0.457148	0.703097	0.169568	0.737578	0.110017	0.229022	0.238054	0.397463	0	0.165798	0.163485	0.536319	0.160118	0.257805	0.0747033	0.724571	0.654919	0.52391	0.0112723	0.928186	0.263787	0.15118	0.0345286	0.377975	0.687288	0.43802	0.298422	0.224821	0.380112	0.134254	0.457148	2.67602	
0.225078	0.315939	0.839462	0.560655	0.245541	0.00156118	0.410797	0.256367	0.125373	0.951493	0.836284	0.467975	0.0503127	0.0481084	0.192668	0.952773	0.460408	0.710383	0.375864	0.189628	0.0773855	0.0850846	0.239347	0.284819	0.22863	0.895012	0.0692557	0	0.100207	0.782149	0.225078	3.34925	
0.134779	0.739076	0.315203	0.26866	0.487064	0.127369	0.337438	0.388317	0.200542	0.0907461	0.0378137	0.0901632	0.278372	0.126069	0.412682	0.383683	0.437851	0.522957	0.492882	0.0899466	0.698668	0.574874	0.729336	0.173833	0.331476	0.187103	0.922723	0.0647548	0.59069	0.603459	0.134779	3.55864	
0.718064	0.160357	0.451456	0.106626	0.151034	0.172365	0.345151	0.217275	0.380907	0.319329	0.209894	0.47572	0.0548427	0.491015	0.370971	0.51248	0.0911188	0.48525	0.171823	0.202425	0.349707	0.00920361	0.443953	0.412895	0.567516	0.337339	0.335166	0.478217	0.362695	0.195509	0.718064	2.10932	
0.173305	0.263597	0.846267	0.162015	0.303537	0.00156118	0.410797	0.256367	0.125373	0.951493	0.878253	0.453655	0.170686	0.0481084	0.192668	0.834182	0.12008	0.710383	0.375864	0.189628	0.259025	0.211788	0.158319	0.284819	0.22863	0.895012	0.0692557	0.326235	0.100207	0.7106	0.173305	3.41024	
0	0.908808	0.171761	0.770349	0.0235825	0.20943	0.341472	0.39199	0.363042	0.386342	0.960253	0.604437	0.464457	0.516745	0.278837	0.0967293	0.0785464	0.753193	0	0.864511	0.0448531	0.7071	0.213326	0.336633	0.319547	0.0952806	0.877856	0.0246196	0.250233	0.0389526	0	4.44262	
0.961558	0.102864	0.451456	0.615638	0.0543888	0.224963	0.330334	0.154235	0.158208	0.421554	0.209894	0.510177	0.391755	0.0302066	0.251546	0.316695	0.0911188	0.758302	0	0.0146054	0.0984802	0.745157	0.81115	0.157943	0.396233	0.229633	0.500637	0.478217	0.529699	0.195509	0.961558	1.93695	
0.0280876	0.742061	0.315203	0.201521	0.941473	0.147728	0.291129	0.388317	0.200542	0.0140144	0.0378137	0.121722	0.24802	0.126069	0.905739	0.595168	0.437851	0.551752	0.516726	0.326289	0.699989	0.538512	0.0748425	0.173833	0.331476	0.277377	0.303557	0.0647548	0.59069	0.603459	0.0280876	3.99247	
0.883101	0.102864	0.467966	0.632401	0	0.224963	0.182603	0.154235	0.380907	0.421554	0.209894	0.510177	0.391755	0.0302066	0.190307	0.51248	0.012601	0.758302	0	0.0415322	0.305883	0.745157	0.81115	0.157943	0.396233	0.125453	0.500637	0.478217	0.551535	0.195509	0.883101	2.07921	
0.072738	0.550855	0.171761	0.770349	0.0235825	0.222298	0.341472	0.39208	0.378812	0.386342	0.991326	0.525997	0.464457	0.516745	0.456315	0.0967293	0.0785464	0.868211	0.161079	0.864511	0.0532197	0.166516	0.213326	0.336633	0.254448	0	0.877856	0.0246196	0.202188	0.0897877	0.072738	3.69627	
0.974513	0.160357	0.396093	0	0	0.222375	0.345151	0.154235	0.380907	0.0890321	0.0687092	0.475842	0.163001	0.367466	0.305905	0.463725	0.0911188	0.730251	0.243452	0.0146054	0.0145268	0.745157	0.81115	0.340148	0.567516	0.118043	0.376502	0.291794	0.187185	0.195509	0.974513	1.71365	
0.961558	0.102864	0.451456	0.615638	0.0543888	0.224963	0.336254	0.154235	0.158208	0.421554	0.209894	0.510177	0.391755	0.0302066	0.251546	0.51248	0.0911188	0.758302	0	0.0146054	0.0984802	0.745157	0.81115	0.157943	0.396233	0.229633	0.500637	0.478217	0.529699	0.195509	0.961558	1.984	
0.0280876	0.742061	0.315203	0.201521	0.941473	0.147728	0.291129	0.388317	0.200542	0.0140144	0.0378137	0.0913935	0.24802	0.126069	0.905739	0.414679	0.437851	0.558617	0.650151	0.304038	0.699989	0.574874	0.734994	0.173833	0.331476	0.187103	0.922723	0.0647548	0.59069	0.603459	0.0280876	4.33011	
0.0423925	0	0.630346	0.298087	0.101655	0.0379198	0.45209	0.803134	0.116801	0.905007	0.178345	0.341062	0.0384358	0.325206	0.618889	0.575906	0.277828	0.290963	0.236278	0.310514	0.41874	0	0.741861	0.216011	0.729762	0.359908	0.338001	0.496658	0.382501	0.891902	0.0423925	4.01482	
0.134779	0.594627	0.315203	0.201521	0.487064	0.127369	0.337438	0.388317	0.200542	0.242957	0.0887179	0.0901632	0.24802	0.126069	0.412682	0.414679	0.437851	0.522957	0.492882	0.304038	0.696232	0.574874	0.729336	0.0719036	0.331476	0.187103	0.922723	0.0647548	0.59069	0.603459	0.134779	3.58748	
